Time(min),Polarity,Parent mz,Parent Intensity,Sample Depth,InjectionTime(ms),Theoretical AGC Injection Time(ms),Min. Required Injection Time(ms),Signal,Noise,S/N,Precursor Ion Fraction, Precursor Ion Fraction No Isotopes,Successful,LipidSampled,Sufficient SN,Sufficient PIF
0.0022333333333333333,+,537.87915,966865.0625,1,17.85610001152092,17.85610001152092,38.201206260986424,8587.098047149793,6123.724356957944,1.4022672391177922,0.8532043538293486,0.747731335563669,false,false,false,true
0.0032166666666666663,+,399.25067138671875,473279.15625,2,20.0,40.15902590339048,67.07161610977455,5478.076759267635,6123.724356957944,0.8945661888003325,0.8010216856715763,0.8010216856715763,false,false,false,true
0.0042,+,555.8895874023438,237959.734375,3,20.0,65.33266857414786,175.90219061349444,2088.794119823142,6123.724356957944,0.3410986514195069,0.6755998785214643,0.6755998785214643,false,false,false,true
0.011666666666666667,-,280.2366638183594,79107.6640625,11,20.0,22.500189865367542,1801.8581411981486,203.91364504042355,6123.724356957944,0.03329895879600316,0.07310741145441668,0.07310741145441668,false,false,false,false
0.01265,-,374.9927673339844,69563.2734375,14,20.0,270.2271995519541,194.91921354053542,1885.00381641991,6123.724356957944,0.30781983422851433,0.7882385773640556,0.7882385773640556,false,false,false,true
0.013633333333333332,-,431.19293212890625,50609.12890625,21,20.0,377.86843875563983,232.29617234032202,1581.7026071320213,6123.724356957944,0.2582909541535532,0.8112305698933575,0.8112305698933575,false,false,false,true
0.0211,+,297.9911193847656,214829.59375,4,20.0,87.82097013503403,163.7877395839298,2243.290385170727,6123.724356957944,0.36632778590398807,0.7780158355217933,0.7780158355217933,false,false,false,true
0.022083333333333333,+,533.88525390625,211559.84375,5,20.0,74.03146136498636,186.5187169193359,1969.9012918707615,6123.724356957944,0.3216835339155175,0.6778227476836756,0.6778227476836756,false,false,false,true
0.023066666666666666,+,535.88427734375,189516.328125,6,20.0,54.01743049390418,315.8643774743728,1163.2317146851642,6123.724356957944,0.18995494357342657,0.4432111395739329,0.4432111395739329,false,false,false,false
0.030533333333333332,-,352.92755126953125,41825.11328125,22,20.0,422.7858613992663,308.81627623106687,1189.7801045387837,6123.724356957944,0.19429027748234992,0.7380295138319926,0.7380295138319926,false,false,false,true
0.031516666666666665,-,276.94097900390625,35192.625,25,20.0,306.39270039512263,642.4339953339692,571.9240639288892,6123.724356957944,0.09339480854964566,0.44254849397935014,0.44254849397935014,false,false,false,false
0.03245482571796372,-,254.22096252441406,30182.642578125,27,17.28954307782344,17.28954307782344,13688.145656232513,23.204690845351976,6123.724356957944,0.0037893101473429596,0.02130584076401607,0.02130584076401607,false,false,false,false
0.039921492384630386,+,200.97373962402344,117046.2890625,6,20.0,211.93559203824995,257.50354160450036,1426.8676039485401,6123.724356957944,0.233006504012104,0.9999999531668945,0.9999999531668945,false,false,false,true
0.04090482571796372,+,338.96746826171875,116528.1875,7,20.0,138.83754465297287,447.2240722263441,821.5645897332654,6123.724356957944,0.13416093570570026,0.6732087824427617,0.6732087824427617,false,false,false,true
0.04188815905129706,+,595.93243,109517.201706044,8,20.0,149.15204116049622,367.87966329076414,998.7599154864754,6123.724356957944,0.16309681123247438,0.8095726581861307,0.7150942075842337,false,false,false,true
0.04935482571796372,-,216.85340881347656,38586.70703125,23,20.0,34.77795070588808,5142.066001254817,71.45444288887276,6123.724356957944,0.011668461662172017,0.054307007812918175,0.054307007812918175,false,false,false,false
0.05033815905129706,-,1479.984375,26216.921875,31,20.0,687.4873613103449,402.3182516082063,913.2657043242681,6123.724356957944,0.14913566501186332,0.9009482323523029,0.9009482323523029,false,false,false,true
0.05132149238463039,-,1579.978271484375,24911.166015625,32,20.0,702.2982243019488,425.12128102337084,864.2791547226207,6123.724356957944,0.141136194959625,0.8854748961031043,0.8854748961031043,false,false,false,true
0.058788159051297056,+,230.1400146484375,111186.96875,7,20.0,144.3574719909237,436.1290377050038,842.4650267520152,6123.724356957944,0.13757396277884115,0.6516128591450164,0.6516128591450164,false,false,false,true
0.05977149238463039,+,224.12808227539062,99737.171875,10,20.0,213.30788098669856,391.0743946276433,939.5231865469341,6123.724356957944,0.1534234939035788,0.8624564119032831,0.8624564119032831,false,false,false,true
0.06075482571796373,+,578.90576,99483.87231341485,11,20.0,182.5288410550022,284.71781565663224,1290.482861320441,6123.724356957944,0.21073496880279383,0.9184717134011195,0.7924759222040161,false,false,false,true
0.0682214923846304,-,257.23956298828125,24412.66015625,31,20.0,58.06633384641588,6300.484015321729,58.316704006226175,6123.724356957944,0.009523077886411581,0.057916471238110716,0.057916471238110716,false,false,false,false
0.06920482571796374,-,285.2711181640625,20987.91796875,36,20.0,100.15171882697874,4936.204266900888,74.43441185795118,6123.724356957944,0.012155088557076666,0.08643316243803886,0.08643316243803886,false,false,false,false
0.07018815905129708,-,387.2030029296875,20865.1640625,38,20.0,1104.0570567583507,492.63486062626833,745.8332545739554,6123.724356957944,0.12179406046036659,0.9684381017919703,0.9684381017919703,false,false,false,true
0.07765482571796375,+,256.9643249511719,98843.890625,9,20.0,124.91813773999598,612.7221658388972,599.6575314268672,6123.724356957944,0.09792366482751952,0.5044407555324194,0.5044407555324194,false,false,false,true
0.07863815905129709,+,274.2737731933594,69739.859375,16,20.0,175.82304932753897,818.2041211463713,449.06087847942655,6123.724356957944,0.07333133438137059,0.5029481773857745,0.5029481773857745,false,false,false,true
0.07962149238463043,+,515.813720703125,68208.171875,17,20.0,274.3850083871047,610.3210315168301,602.016713244044,6123.724356957944,0.09830891760502186,0.8071899139524664,0.8071899139524664,false,false,false,true
