Retention Time (min),Quant Ion,Polarity,Identification,Lipid Class,Features Found,Filter Status
12.854,804.68549,+,Plasmanyl-PC O-38:0,Plasmanyl-PC,27,
11.89,802.66931,+,Plasmanyl-PC O-38:1,Plasmanyl-PC,54,
10.892,800.65424,+,Plasmanyl-PC O-38:2,Plasmanyl-PC,16,
11.049,800.65466,+,Plasmanyl-PC O-38:2,Plasmanyl-PC,4,
11.258,800.65417,+,Plasmanyl-PC O-38:2,Plasmanyl-PC,30,
9.65,796.62152,+,Plasmanyl-PC O-38:4,Plasmanyl-PC,45,
10.448,796.6214,+,Plasmanyl-PC O-38:4,Plasmanyl-PC,26,
9.043,794.60596,+,Plasmanyl-PC O-38:5,Plasmanyl-PC,56,
9.477,794.60577,+,Plasmanyl-PC O-38:5,Plasmanyl-PC,16,
8.487,792.59003,+,Plasmanyl-PC O-38:6,Plasmanyl-PC,7,
8.885,792.58966,+,Plasmanyl-PC O-38:6,Plasmanyl-PC,55,
8.597,790.57355,+,Plasmanyl-PC O-38:7,Plasmanyl-PC,28,
13.369,818.70117,+,Plasmanyl-PC O-39:0,Plasmanyl-PC,27,
11.538,816.70355,+,Plasmanyl-PC O-39:1,Plasmanyl-PC,23,
13.85,832.71698,+,Plasmanyl-PC O-40:0,Plasmanyl-PC,27,
12.755,830.70074,+,Plasmanyl-PC O-40:1,Plasmanyl-PC,18,
12.88,830.70032,+,Plasmanyl-PC O-40:1,Plasmanyl-PC,29,
11.825,828.68457,+,Plasmanyl-PC O-40:2,Plasmanyl-PC,27,
12.252,828.68481,+,Plasmanyl-PC O-40:2,Plasmanyl-PC,7,
11.882,824.64789,+,Plasmanyl-PC O-40:4,Plasmanyl-PC,6,
9.658,822.63672,+,Plasmanyl-PC O-40:5,Plasmanyl-PC,24,
9.888,822.63702,+,Plasmanyl-PC O-40:5,Plasmanyl-PC,28,
10.651,822.63647,+,Plasmanyl-PC O-40:5,Plasmanyl-PC,26,
11.265,822.63684,+,Plasmanyl-PC O-40:5,Plasmanyl-PC,25,
9.046,820.62115,+,Plasmanyl-PC O-40:6,Plasmanyl-PC,7,
9.595,820.62091,+,Plasmanyl-PC O-40:6,Plasmanyl-PC,55,
8.628,816.58807,+,Plasmanyl-PC O-40:8,Plasmanyl-PC,26,
13.882,858.73169,+,Plasmanyl-PC O-42:1,Plasmanyl-PC,27,
12.782,856.71631,+,Plasmanyl-PC O-42:2,Plasmanyl-PC,27,
11.83,852.68457,+,Plasmanyl-PC O-42:4,Plasmanyl-PC,27,
12.745,852.68134,+,Plasmanyl-PC O-42:4,Plasmanyl-PC,5,
12.88,852.68201,+,Plasmanyl-PC O-42:4,Plasmanyl-PC,20,
11.16,908.67688,-,Plasmanyl-PC O-42:5,Plasmanyl-PC,9,
12.25,850.66901,+,Plasmanyl-PC O-42:5,Plasmanyl-PC,27,
10.138,848.65131,+,Plasmanyl-PC O-42:6,Plasmanyl-PC,21,
13.746,884.74756,+,Plasmanyl-PC O-44:2,Plasmanyl-PC,20,
12.501,880.71613,+,Plasmanyl-PC O-44:4,Plasmanyl-PC,27,
12.818,880.71613,+,Plasmanyl-PC O-44:4,Plasmanyl-PC,27,
10.84,876.68445,+,Plasmanyl-PC O-44:6,Plasmanyl-PC,27,
11.467,876.68469,+,Plasmanyl-PC O-44:6,Plasmanyl-PC,26,
11.703,904.71533,+,Plasmanyl-PC O-46:6,Plasmanyl-PC,27,
12.075,904.71698,+,Plasmanyl-PC O-46:6,Plasmanyl-PC,27,
12.447,904.71588,+,Plasmanyl-PC O-46:6,Plasmanyl-PC,27,
9.23,724.53015,-,Plasmanyl-PE O-16:0_20:4,Plasmanyl-PE,2,
10.596,754.57745,-,Plasmanyl-PE O-16:0_22:3,Plasmanyl-PE,22,
9.879,752.56146,-,Plasmanyl-PE O-16:0_22:4,Plasmanyl-PE,27,
10.138,752.56128,-,Plasmanyl-PE O-18:0_20:4,Plasmanyl-PE,27,
10.793,780.5932,-,Plasmanyl-PE O-18:0_22:4,Plasmanyl-PE,27,
10.409,752.56128,-,Plasmanyl-PE O-18:1_20:3,Plasmanyl-PE,27,
10.68,752.56128,-,Plasmanyl-PE O-18:1_20:3,Plasmanyl-PE,27,
9.957,750.54584,-,Plasmanyl-PE O-18:1_20:4,Plasmanyl-PE,28,
11.372,780.59332,-,Plasmanyl-PE O-18:1_22:3,Plasmanyl-PE,27,
10.609,778.57837,-,Plasmanyl-PE O-18:1_22:4,Plasmanyl-PE,28,
11.767,808.62469,-,Plasmanyl-PE O-20:0_22:4,Plasmanyl-PE,25,
10.147,702.54462,-,Plasmanyl-PE O-34:1,Plasmanyl-PE,27,
11.146,730.57666,-,Plasmanyl-PE O-36:1,Plasmanyl-PE,27,
8.628,722.51398,-,Plasmanyl-PE O-36:5,Plasmanyl-PE,26,
9.24,750.54553,-,Plasmanyl-PE O-38:5,Plasmanyl-PE,22,
9.101,748.52997,-,Plasmanyl-PE O-38:6,Plasmanyl-PE,28,
11.566,782.60889,-,Plasmanyl-PE O-40:3,Plasmanyl-PE,14,
11.086,780.59344,-,Plasmanyl-PE O-40:4,Plasmanyl-PE,27,
10.118,778.57727,-,Plasmanyl-PE O-40:5,Plasmanyl-PE,27,
9.735,776.56122,-,Plasmanyl-PE O-40:6,Plasmanyl-PE,26,
9.938,776.56146,-,Plasmanyl-PE O-40:6,Plasmanyl-PE,10,
10.283,776.56122,-,Plasmanyl-PE O-40:6,Plasmanyl-PE,27,
9.354,800.56171,-,Plasmanyl-PE O-42:8,Plasmanyl-PE,24,
8.86,824.58264,-,Plasmenyl-PC P-16:0_20:4,Plasmenyl-PC,28,
9.474,852.61371,-,Plasmenyl-PC P-16:0_22:4,Plasmenyl-PC,12,
10.657,880.64441,-,Plasmenyl-PC P-20:0_20:4,Plasmenyl-PC,26,
9.788,802.59894,-,Plasmenyl-PC P-34:1,Plasmenyl-PC,27,
8.243,696.49646,+,Plasmenyl-PE P-14:0_20:4,Plasmenyl-PE,51,
9.752,726.54346,+,Plasmenyl-PE P-16:0_20:3,Plasmenyl-PE,30,
9.067,724.52814,+,Plasmenyl-PE P-16:0_20:4,Plasmenyl-PE,56,
8.485,722.51215,+,Plasmenyl-PE P-16:0_20:5,Plasmenyl-PE,55,
9.698,752.55945,+,Plasmenyl-PE P-16:0_22:4,Plasmenyl-PE,56,
8.784,748.52832,+,Plasmenyl-PE P-16:0_22:6,Plasmenyl-PE,56,
12.924,784.62408,-,Plasmenyl-PE P-18:0_22:1,Plasmenyl-PE,27,
9.647,776.5592,+,Plasmenyl-PE P-18:0_22:6,Plasmenyl-PE,49,
10.055,728.55975,+,Plasmenyl-PE P-18:1_18:1,Plasmenyl-PE,54,
9.407,774.54504,-,Plasmenyl-PE P-18:1_22:5,Plasmenyl-PE,5,
8.823,774.54346,+,Plasmenyl-PE P-18:1_22:6,Plasmenyl-PE,56,
10.894,780.59094,+,Plasmenyl-PE P-20:0_20:4,Plasmenyl-PE,54,
11.571,808.62219,+,Plasmenyl-PE P-20:0_22:4,Plasmenyl-PE,47,
10.553,802.57684,-,Plasmenyl-PE P-20:0_22:6,Plasmenyl-PE,14,
9.128,674.51239,+,Plasmenyl-PE P-32:1,Plasmenyl-PE,51,
10.023,702.54395,+,Plasmenyl-PE P-34:1,Plasmenyl-PE,56,
8.885,696.49847,-,Plasmenyl-PE P-34:3,Plasmenyl-PE,3,
10.973,730.57611,+,Plasmenyl-PE P-36:1,Plasmenyl-PE,54,
9.473,726.54346,+,Plasmenyl-PE P-36:3,Plasmenyl-PE,26,
11.935,758.60669,+,Plasmenyl-PE P-38:1,Plasmenyl-PE,54,
9.383,748.52997,-,Plasmenyl-PE P-38:5,Plasmenyl-PE,28,
8.692,812.54559,-,PS 18:0_20:3,PS,9,
8.693,810.5304,-,PS 18:0_20:4,PS,4,
8.831,838.56134,-,PS 18:0_22:4,PS,26,
9.005,838.56134,-,PS 18:0_22:4,PS,6,
9.069,788.5462,-,PS 18:1_18:0,PS,21,
9.27,788.54608,-,PS 18:1_18:0,PS,2,
9.567,788.5459,-,PS 18:1_18:0,PS,11,
8.292,786.53046,-,PS 18:1_18:1,PS,3,
10.042,842.59241,-,PS 18:1_22:1,PS,19,
10.462,842.59338,-,PS 18:1_22:1,PS,4,
10.048,816.57733,-,PS 38:1,PS,7,
9.55,814.56122,-,PS 38:2,PS,3,
8.265,810.53003,-,PS 38:4,PS,26,
7.336,649.51984,+,SM d30:0,SM,27,
6.601,647.51239,+,SM d30:1,SM,26,
7.092,661.52838,+,SM d31:1,SM,27,
7.489,675.54376,+,SM d32:1,SM,28,
6.813,673.52875,+,SM d32:2,SM,27,
7.909,689.55939,+,SM d33:1,SM,53,
7.234,687.54413,+,SM d33:2,SM,27,
8.658,705.59125,+,SM d34:0,SM,17,
8.348,703.57489,+,SM d34:1,SM,56,
7.619,701.55957,+,SM d34:2,SM,56,
8.806,717.59125,+,SM d35:1,SM,26,
8.031,715.57513,+,SM d35:2,SM,26,
9.621,733.62256,+,SM d36:0,SM,26,
12.783,733.61407,+,SM d36:0,SM,27,
9.26,731.60669,+,SM d36:1,SM,28,
8.457,729.59021,+,SM d36:2,SM,28,
15.808,735.54797,+,SM d37:6,SM,28,
10.253,759.63879,+,SM d38:1,SM,50,
11.262,771.63885,+,SM d39:2,SM,27,
11.626,789.68591,+,SM d40:0,SM,26,
11.255,787.66949,+,SM d40:1,SM,56,
10.195,785.65442,+,SM d40:2,SM,54,
10.361,785.6543,+,SM d40:2,SM,55,
10.678,799.67084,+,SM d41:2,SM,54,
9.808,797.65717,+,SM d41:3,SM,22,
12.629,875.72473,-,SM d42:0,SM,8,
11.54,815.70093,+,SM d42:1,SM,3,
12.271,815.70074,+,SM d42:1,SM,55,
13.201,815.70074,+,SM d42:1,SM,2,
11.165,813.68481,+,SM d42:2,SM,56,
11.349,871.69287,-,SM d42:2,SM,10,
16.341,813.69543,+,SM d42:2,SM,27,
10.278,811.66821,+,SM d42:3,SM,56,
9.548,809.65186,+,SM d42:4,SM,18,
10.374,807.6355,+,SM d42:5,SM,26,
11.658,827.70349,+,SM d43:2,SM,49,
10.745,825.69269,+,SM d43:3,SM,27,
11.775,823.66858,+,SM d43:4,SM,13,
13.279,843.73242,+,SM d44:1,SM,6,
12.145,841.71722,+,SM d44:2,SM,54,
11.236,839.70111,+,SM d44:3,SM,27,
12.27,837.68207,+,SM d44:4,SM,27,
2.169,282.27927,+,SP d18:1,SP,27,
14.209,738.66241,+,TG 12:0_12:0_18:1,TG,24,
14.409,764.67706,+,TG 12:0_16:1_16:1,TG,27,
15.502,754.69244,+,TG 14:0_14:0_15:0,TG,26,
15.714,849.69458,+,TG 14:0_16:0_20:4,TG,27,
15.615,806.72375,+,TG 15:0_16:1_16:1,TG,13,
16.537,877.72632,+,TG 16:0_16:0_20:4,TG,26,
16.168,901.72516,+,TG 16:0_16:0_22:6,TG,17,
17.308,905.75702,+,TG 16:0_18:0_20:4,TG,5,
15.12,949.72632,+,TG 16:0_20:4_22:6,TG,27,
14.632,892.73938,+,TG 16:1_16:1_22:6,TG,27,
15.964,977.75751,+,TG 18:0_20:4_22:6,TG,27,
16.46,950.81702,+,TG 18:1_18:1_22:5,TG,2,
18.458,982.88031,+,TG 18:1_20:0_22:4,TG,2,
15.11,975.74097,+,TG 18:1_20:4_22:6,TG,27,
19.538,1064.95789,+,TG 18:1_22:4_26:1,TG,2,
14.73,999.74182,+,TG 18:1_22:6_22:6,TG,27,
14.637,1046.81836,+,TG 22:5_22:5_22:5,TG,25,
15.934,768.70825,+,TG 44:0,TG,28,
15.086,766.6922,+,TG 44:1,TG,28,
16.347,782.724,+,TG 45:0,TG,28,
16.756,796.73907,+,TG 46:0,TG,28,
15.927,794.72375,+,TG 46:1,TG,55,
16.055,794.72321,+,TG 46:1,TG,5,
15.271,792.70831,+,TG 46:2,TG,28,
16.983,810.75464,+,TG 47:0,TG,5,
17.134,810.75531,+,TG 47:0,TG,28,
16.34,808.7395,+,TG 47:1,TG,29,
17.522,824.77094,+,TG 48:0,TG,56,
16.742,822.755,+,TG 48:1,TG,56,
16.864,822.75507,+,TG 48:1,TG,7,
16.01,820.7392,+,TG 48:2,TG,54,
16.428,820.73938,+,TG 48:2,TG,5,
15.54,818.72351,+,TG 48:3,TG,23,
17.869,838.78705,+,TG 49:0,TG,28,
17.118,836.77106,+,TG 49:1,TG,28,
16.374,834.75507,+,TG 49:2,TG,26,
18.235,852.80231,+,TG 50:0,TG,45,
17.497,850.78644,+,TG 50:1,TG,56,
16.767,848.77051,+,TG 50:2,TG,55,
16.072,846.75476,+,TG 50:3,TG,50,
16.398,846.75507,+,TG 50:3,TG,20,
15.528,844.73932,+,TG 50:4,TG,8,
18.555,866.81757,+,TG 51:0,TG,25,
17.713,864.80225,+,TG 51:1,TG,2,
17.847,864.80182,+,TG 51:1,TG,55,
17.104,862.78607,+,TG 51:2,TG,55,
16.417,860.77045,+,TG 51:3,TG,27,
18.897,880.83368,+,TG 52:0,TG,39,
18.206,878.81775,+,TG 52:1,TG,55,
17.475,876.80194,+,TG 52:2,TG,56,
16.788,874.78558,+,TG 52:3,TG,56,
16.322,872.77063,+,TG 52:4,TG,51,
15.739,870.75458,+,TG 52:5,TG,54,
19.22,894.84851,+,TG 53:0,TG,7,
18.53,892.83344,+,TG 53:1,TG,54,
17.823,890.81805,+,TG 53:2,TG,55,
17.103,888.80139,+,TG 53:3,TG,54,
16.747,886.78552,+,TG 53:4,TG,15,
16.117,884.77032,+,TG 53:5,TG,27,
19.54,908.86499,+,TG 54:0,TG,30,
18.865,906.84918,+,TG 54:1,TG,54,
18.178,904.83295,+,TG 54:2,TG,56,
17.457,902.81659,+,TG 54:3,TG,56,
17.597,907.77191,+,TG 54:3,TG,12,
16.899,900.80164,+,TG 54:4,TG,49,
17.147,900.80182,+,TG 54:4,TG,50,
16.312,898.78644,+,TG 54:5,TG,2,
16.519,898.78656,+,TG 54:5,TG,56,
15.781,901.72528,+,TG 54:6,TG,27,
15.337,899.71021,+,TG 54:7,TG,27,
19.166,920.8642,+,TG 55:1,TG,6,
18.489,918.84821,+,TG 55:2,TG,17,
20.096,936.89709,+,TG 56:0,TG,8,
19.486,934.88043,+,TG 56:1,TG,55,
18.82,932.86456,+,TG 56:2,TG,55,
17.474,930.84784,+,TG 56:3,TG,2,
18.141,930.84784,+,TG 56:3,TG,54,
18.264,935.80438,+,TG 56:3,TG,4,
17.649,928.83337,+,TG 56:4,TG,45,
17.07,926.81781,+,TG 56:5,TG,54,
17.278,931.77301,+,TG 56:5,TG,27,
16.495,924.80182,+,TG 56:6,TG,56,
16.149,927.74176,+,TG 56:7,TG,27,
15.324,925.72583,+,TG 56:8,TG,9,
15.481,925.72577,+,TG 56:8,TG,27,
19.78,948.8963,+,TG 57:1,TG,10,
19.111,946.88019,+,TG 57:2,TG,8,
16.842,938.81659,+,TG 57:6,TG,4,
20.628,964.92859,+,TG 58:0,TG,5,
20.063,962.91248,+,TG 58:1,TG,55,
19.414,960.89636,+,TG 58:2,TG,53,
18.782,958.88019,+,TG 58:3,TG,41,
18.219,956.86353,+,TG 58:4,TG,35,
17.778,954.84875,+,TG 58:5,TG,54,
17.047,952.83282,+,TG 58:6,TG,52,
17.214,952.83258,+,TG 58:6,TG,49,
16.643,950.81689,+,TG 58:7,TG,52,
16.935,955.77277,+,TG 58:7,TG,27,
16.131,948.80133,+,TG 58:8,TG,55,
15.479,951.74109,+,TG 58:9,TG,27,
20.335,976.92798,+,TG 59:1,TG,2,
19.072,972.89557,+,TG 59:3,TG,4,
20.597,990.94452,+,TG 60:1,TG,53,
15.461,977.75702,+,TG 60:10,TG,11,
15.703,977.75732,+,TG 60:10,TG,25,
19.995,988.92761,+,TG 60:2,TG,54,
19.375,986.91144,+,TG 60:3,TG,46,
18.803,984.8949,+,TG 60:4,TG,25,
18.289,982.87976,+,TG 60:5,TG,7,
17.76,980.86407,+,TG 60:6,TG,21,
17.906,980.86432,+,TG 60:6,TG,38,
17.197,978.84808,+,TG 60:7,TG,48,
16.63,976.8324,+,TG 60:8,TG,33,
16.884,981.78802,+,TG 60:8,TG,20,
16.081,974.81683,+,TG 60:9,TG,50,
16.289,979.77228,+,TG 60:9,TG,27,
20.265,1002.94299,+,TG 61:2,TG,4,
15.686,1003.77289,+,TG 62:11,TG,27,
20.542,1016.95972,+,TG 62:2,TG,54,
19.931,1014.94287,+,TG 62:3,TG,50,
19.384,1012.92621,+,TG 62:4,TG,53,
18.535,1008.89624,+,TG 62:6,TG,44,
17.303,1004.86432,+,TG 62:8,TG,25,
16.672,1002.84802,+,TG 62:9,TG,14,
20.972,1044.99133,+,TG 64:2,TG,22,
20.437,1042.97583,+,TG 64:3,TG,27,
19.928,1040.95789,+,TG 64:4,TG,10,
20.919,1071.00659,+,TG 66:3,TG,27,
